ID,VERB,DEFINITION,EXAMPLE,ARG0,FLAG0,ARG1,FLAG1,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG2,FLAG2,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG3,FLAG3,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG4,FLAG4,"NOM, ACC, DAT, ABL, INS, LOC, GEN",,,,,,,,,,,,,,,
TUR10-0681130,seslenmek,Bir şey söylemek için sesini çıkarmak veya cevap vermek,"Kendisini kurtarmaları için ev sahiplerine seslenecek, işaret edecek oldu.",cevap veren kişi,pag,cevap verilen ,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0080430,bastırmak,Cevabı hemen yetiştirmek,"Nasrettin Hoca bastırdı: ""Ya tutarsa?""",cevap veren kişi,pag,cevap verilen ,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0168790,çimentolamak,"Çimento sürmek, çimento ile sıvamak",Bu duvarı çimentolamak gerek.,çimentolayan,pag,çimentolana yüzey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0323930,halletmek,Cinsel ilişki kurmak,,cinsel ilişki kuran kişi,pag,cinsel ilişki kurulan kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0170510,çivilenmek,Bir yerde hareketsiz kalmak,Haberi duyunca olduğum yere çivilendim kaldım.,çivilenen kişi,pag,çivilendiği yer,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-1200520,ciyaklamak,"İnce, acı ve yüksek sesle bağırmak; cıyaklamak",,ciyaklayan kişi,pag,ciyaklanan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-1179570,yastıklamak,Sürülen tarlanın iki başına ters yönde birkaç çizgi çekmek,,çizgi çeken kişi,pag,çizgi çekilen tarla,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0197880,desenlemek,Desen yaparak çizmek,,desen çizen kişi,pag,"çizim yapılabilecek şey, yer",dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0176530,çullanmak,Alta almak için birinin üzerine abanmak,"Hepsi, yeni gelenin üstüne çullanarak zavallıyı dövüyorlardı.",çullanan kişi,pag,çullanılan kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0176540,çullanmak,"Birini bezdirecek, bıktıracak kadar üzerine gitmek",Kız bu şakaya darılır gibi oldu; lakin Paşa bunu görünce daha ziyade çullandı.,çullanan kişi,pag,çullanılan kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0177380,dadanmak,"Yarar, çıkar amacıyla veya alışkanlıkla bir yere sık uğramak",Ahmet'e piyangodan para çıkınca mahalledeki gençler dükkanına dadandı.,dadanan kişi,pag,dadanılan şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
